Article ID (PDFs),"1:
Does the article use a reproducible methodology with explicit inclusion and exclusion criteria for identifying and finding primary literature?
","2:
Does the article use a reproducible methodology with explicit inclusion and exclusion criteria for identifying and finding secondary literature?
","3: 
Does the article explicitly attempt to identify all the available primary literature relative to the research question?","4: 
Does the article explicitly attempt to identify all the available secondary literature relative to the research question?","5a:
Does the article argue for wide-scope historical claims, i.e., claims spanning multiple decades or periods or intellectual movements?
","5c:
If 5a is scored as '1', does the article qualify the wide-scope claims?
"
2017-1-2,0,0,0,0,0,
2017-1-3,0,0,0,0,0,
2017-1-4,0,0,0,0,1,1
2017-1-5,0,0,0,0,1,0
2017-1-6,0,0,0,0,1,1
2017-1-7,0,0,0,0,0,
2017-1-8,0,0,0,0,0,
2017-1-9,0,0,0,0,0,
2017-1-10,0,0,0,0,1,0
2017-2-2,0,0,0,0,1,1
2017-2-3,1,0,1,0,0,
2017-2-4,0,0,0,0,1,1
2017-2-5,1,0,0,0,1,1
2017-2-6,0,0,0,0,0,
2017-2-7,0,0,0,0,1,1
2017-2-8,0,0,0,0,0,
2017-2-9,0,0,0,0,0,
2017-2-10,0,0,0,0,0,
2017-3-2,0,0,0,0,1,0
2017-3-3,1,0,0,0,0,
2017-3-4,0,0,0,0,1,0
2017-3-5,0,0,0,0,1,1
2017-3-6,0,0,0,0,0,
2017-3-7,1,0,0,0,0,
2017-3-8,0,0,0,0,0,
2017-3-9,0,0,0,0,0,
2017-4-1,0,0,0,0,1,1
2017-4-2,0,0,0,0,0,
2017-4-3,0,0,0,0,1,1
2017-4-4,0,0,0,0,0,
2017-4-5,0,0,0,0,0,
2017-4-6,0,0,0,0,1,1
2017-4-7,0,0,0,0,0,
2017-4-8,1,0,1,0,1,0
2017-4-9,0,0,0,0,1,1
2017-5-2,0,0,0,0,1,0
2017-5-3,0,0,0,0,0,
2017-5-4,0,0,0,0,1,1
2017-5-5,0,0,0,0,1,1
2017-5-6,0,0,0,0,1,0
2017-5-7,0,0,0,0,0,
2017-5-8,0,0,0,0,1,0
2017-5-9,0,0,0,0,0,
2017-5-10,0,0,0,0,1,1
2017-5-11,1,0,1,0,1,1
2017-6-2,0,0,0,0,0,
2017-6-3,0,0,0,0,1,1
2017-6-4,0,0,0,0,0,
2017-6-5,0,0,0,0,1,1
2017-6-6,0,0,0,0,0,
2017-6-7,0,0,0,0,0,
2017-6-8,0,0,0,0,1,1
2017-6-9,0,0,0,0,1,1
2017-6-10,0,0,0,0,1,1